Technology,Delay_Years,Total_Duration_Years,WACC,WACC_Pct,Capex_Overnight_kW,Capex_Total_kW,IDC_kW,IDC_Multiplier
20-yr LTO,4.0,5.0,0.1,10.0%,1200.0,1599.5863148230958,399.5863148230958,1.332988595685913
20-yr LTO,5.0,5.0,0.04,4.0%,1200.0,1384.3898907730613,184.38989077306132,1.1536582423108845
20-yr LTO,5.0,5.0,0.055,5.5%,1200.0,1435.9263890391392,235.92638903913917,1.1966053241992827
20-yr LTO,5.0,5.0,0.07,7.0%,1200.0,1488.9505172681575,288.95051726815745,1.2407920977234645
20-yr LTO,5.0,5.0,0.085,8.5%,1200.0,1543.4933410464546,343.4933410464546,1.2862444508720454
20-yr LTO,5.0,5.0,0.1,10.0%,1200.0,1599.5863148230958,399.5863148230958,1.332988595685913
20-yr LTO,6.0,5.0,0.04,4.0%,1200.0,1384.3898907730613,184.38989077306132,1.1536582423108845
20-yr LTO,6.0,5.0,0.055,5.5%,1200.0,1435.9263890391392,235.92638903913917,1.1966053241992827
20-yr LTO,6.0,5.0,0.07,7.0%,1200.0,1488.9505172681575,288.95051726815745,1.2407920977234645
20-yr LTO,6.0,5.0,0.085,8.5%,1200.0,1543.4933410464546,343.4933410464546,1.2862444508720454
20-yr LTO,6.0,5.0,0.1,10.0%,1200.0,1599.5863148230958,399.5863148230958,1.332988595685913
20-yr LTO,7.0,5.0,0.04,4.0%,1200.0,1384.3898907730613,184.38989077306132,1.1536582423108845
20-yr LTO,7.0,5.0,0.055,5.5%,1200.0,1435.9263890391392,235.92638903913917,1.1966053241992827
20-yr LTO,7.0,5.0,0.07,7.0%,1200.0,1488.9505172681575,288.95051726815745,1.2407920977234645
20-yr LTO,7.0,5.0,0.085,8.5%,1200.0,1543.4933410464546,343.4933410464546,1.2862444508720454
20-yr LTO,7.0,5.0,0.1,10.0%,1200.0,1599.5863148230958,399.5863148230958,1.332988595685913
20-yr LTO,8.0,5.0,0.04,4.0%,1200.0,1384.3898907730613,184.38989077306132,1.1536582423108845
20-yr LTO,8.0,5.0,0.055,5.5%,1200.0,1435.9263890391392,235.92638903913917,1.1966053241992827
20-yr LTO,8.0,5.0,0.07,7.0%,1200.0,1488.9505172681575,288.95051726815745,1.2407920977234645
20-yr LTO,8.0,5.0,0.085,8.5%,1200.0,1543.4933410464546,343.4933410464546,1.2862444508720454
20-yr LTO,8.0,5.0,0.1,10.0%,1200.0,1599.5863148230958,399.5863148230958,1.332988595685913
20-yr LTO,9.0,5.0,0.04,4.0%,1200.0,1384.3898907730613,184.38989077306132,1.1536582423108845
20-yr LTO,9.0,5.0,0.055,5.5%,1200.0,1435.9263890391392,235.92638903913917,1.1966053241992827
20-yr LTO,9.0,5.0,0.07,7.0%,1200.0,1488.9505172681575,288.95051726815745,1.2407920977234645
20-yr LTO,9.0,5.0,0.085,8.5%,1200.0,1543.4933410464546,343.4933410464546,1.2862444508720454
20-yr LTO,9.0,5.0,0.1,10.0%,1200.0,1599.5863148230958,399.5863148230958,1.332988595685913
20-yr LTO,10.0,5.0,0.04,4.0%,1200.0,1384.3898907730613,184.38989077306132,1.1536582423108845
20-yr LTO,10.0,5.0,0.055,5.5%,1200.0,1435.9263890391392,235.92638903913917,1.1966053241992827
20-yr LTO,10.0,5.0,0.07,7.0%,1200.0,1488.9505172681575,288.95051726815745,1.2407920977234645
20-yr LTO,10.0,5.0,0.085,8.5%,1200.0,1543.4933410464546,343.4933410464546,1.2862444508720454
20-yr LTO,10.0,5.0,0.1,10.0%,1200.0,1599.5863148230958,399.5863148230958,1.332988595685913
